,id,name,price,year,quality,type,volume_l,fuel_type,Kpp,text,date,city,link
35,125305910,Subaru Forester,3000000,2003,Б/у,кроссовер,2, бензин, правый руль,"2003 г., Б/у кроссовер, 2 л, бензин, правый руль, КПП автомат, с пробегом 252 842 км, бордовый, тонировка, багажник, ф...",19 сентября,Караганда,https://kolesa.kz//a/show/125305910
36,125438533,BMW 520,4700000,2009,Б/у,седан,2, бензин, КПП автомат,"2009 г., Б/у седан, 2 л, бензин, КПП автомат, с пробегом 260 000 км, серый, литые диски, тонировка, ксенон, велюр, CD,...",19 сентября,Кокшетау,https://kolesa.kz//a/show/125438533
37,125783778,Lexus RX 300,4700000,2000,Б/у,кроссовер,3, бензин, КПП автомат,"2000 г., Б/у кроссовер, 3 л, бензин, КПП автомат, с пробегом 237 000 км, зеленый, металлик, налог уплачен, техосмотр п...",19 сентября,Нур-Султан (Астана),https://kolesa.kz//a/show/125783778
38,125743073,ВАЗ (Lada) Kalina 2192 (хэтчбек),1800000,2013,Б/у,хэтчбек,1.6, бензин, КПП механика,"2013 г., Б/у хэтчбек, 1.6 л, бензин, КПП механика, голубой, металлик, тонировка, дневные ходовые огни, корректор фар,...",19 сентября,Алматы,https://kolesa.kz//a/show/125743073
39,125649998,Toyota Land Cruiser,20300000,2012,Б/у,внедорожник,4.6, бензин, КПП автомат,"2012 г., Б/у внедорожник, 4.6 л, бензин, КПП автомат, с пробегом 177 000 км, белый, металлик, литые диски, тонировка,...",19 сентября,Семей,https://kolesa.kz//a/show/125649998
40,125773580,Honda Odyssey,3000000,2005,Б/у,минивэн,2.4, бензин, правый руль,"2005 г., Б/у минивэн, 2.4 л, бензин, правый руль, КПП вариатор, белый, металлик, литые диски, тонировка, ксенон, биксе...",19 сентября,Шу,https://kolesa.kz//a/show/125773580
41,125783714,ВАЗ (Lada) 2115 (седан),650000,2005,Б/у,седан,1.5, бензин, правый руль,"2005 г., Б/у седан, 1.5 л, бензин, правый руль, КПП механика",19 сентября,Шардара,https://kolesa.kz//a/show/125783714
42,125783522,ВАЗ (Lada) 2107,700000,2010,Б/у,седан,1.6, бензин, КПП механика,"2010 г., Б/у седан, 1.6 л, бензин, КПП механика, с пробегом 33 500 км, черный, металлик, тонировка, bluetooth, MP3, US...",19 сентября,Шымкент,https://kolesa.kz//a/show/125783522
43,125783582,Volkswagen Passat,1000000,1993,Б/у,седан,1.8, бензин, КПП механика,"1993 г., Б/у седан, 1.8 л, бензин, КПП механика, серый",19 сентября,Уральск,https://kolesa.kz//a/show/125783582
44,125781883,Mercedes-Benz E 280,3200000,1998,Б/у,седан,2.8, бензин, КПП автомат,"1998 г., Б/у седан, 2.8 л, бензин, КПП автомат, с пробегом 321 000 км, синий, металлик, литые диски, тонировка, обвес,...",19 сентября,Алматы,https://kolesa.kz//a/show/125781883
